ID                     , Category          , Address ID, Description
2021-11-30-Tue-48@19:00, Bowling           ,          6, Subbing for Arlo Trux
2021-12-09-Thu-50@15:00, Primary Doctor    ,          2, Yearly Checkup
2021-12-30-Thu-52@08:15, Melissa           ,          7, Picking up Melissa at Brian's to go to the airport
2021-12-30-Thu-52@11:36, Airport           ,          7, Melissa flying back to Florida
2022-01-15-Sat-02@16:00, Bowling Tournament,          5, 7th Annual Two Person Best Ball Tournament
2022-01-22-Sat-03@16:00, Bowling Tournament,          5, 7th Annual Two Person Best Ball Tournament
2022-01-31-Mon-05@09:45, Dad Eye Doctor    ,          3, 6-Month Checkup
2022-02-23-Wed-09@12:30, Dad Gastro Doctor ,          1, Yearly Checkup
2021-12-29-52-Wed@23:37,task, @home, @done fill medicine container
2021-12-29-52-Wed@23:56,@home, @sleep
2021-12-30-52-Thu@07:03,@home, @wake
